annee;jourDebut;jourFin;parcelle;couvert;itk;evaporation[mm];transpiration[mm];percolation[mm];capilarite[mm];ruissellement[mm];Hr_debut[mm];Hm_debut[mm];Hr_fin[mm];Hm_fin[mm];Hr_1erJanv[mm];Hm_1erJanv[mm];satisfactionHydrique[%];pluie[mm];irrigation[mm];sommeDegresJourCulture[°C]
2018;213;365;19_001;solnu;;233.23;0.0;221.93;29.3;0.0;24.2;49.27;0.0;0.0;-1.0;-1.0;0.0;399.12;0.0;0.0
2018;213;365;119_001;solnu;;232.74;0.0;222.07;30.81;0.0;24.64;49.58;0.0;0.0;-1.0;-1.0;0.0;399.12;0.0;0.0
2018;213;365;219_001;solnu;;235.46;0.0;219.57;29.77;0.0;25.54;51.73;0.0;0.0;-1.0;-1.0;0.0;399.12;0.0;0.0
2018;213;365;319_001;solnu;;232.74;0.0;222.07;30.81;0.0;24.64;49.58;0.0;0.0;-1.0;-1.0;0.0;399.12;0.0;0.0
2018;213;365;419_001;solnu;;232.7;0.0;222.11;31.2;0.0;24.83;49.68;0.0;0.0;-1.0;-1.0;0.0;399.12;0.0;0.0
2018;213;365;519_001;solnu;;232.7;0.0;222.11;31.2;0.0;24.83;49.68;0.0;0.0;-1.0;-1.0;0.0;399.12;0.0;0.0
2018;213;365;619_001;solnu;;232.74;0.0;222.07;30.81;0.0;24.64;49.58;0.0;0.0;-1.0;-1.0;0.0;399.12;0.0;0.0
2018;213;365;719_001;solnu;;232.38;0.0;222.46;30.65;0.0;24.41;49.36;0.0;0.0;-1.0;-1.0;0.0;399.12;0.0;0.0
2019;1;151;19_001;solnu;;144.96;0.0;0.0;0.0;0.0;0.0;49.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;152;258;19_001;mil;mil_precarachide;125.98;9.44;231.9;12.36;0.0;0.0;0.0;60.95;60.95;0.0;0.0;37.86;397.33;0.0;1789.99
2019;259;365;19_001;solnu;;115.74;0.0;65.58;22.92;0.0;60.95;60.95;0.0;0.0;0.0;0.0;0.0;115.72;0.0;0.0
2019;1;151;119_001;solnu;;144.96;0.0;0.0;0.0;0.0;0.0;49.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;152;258;119_001;mil;mil_precarachide;125.74;9.61;231.62;12.22;0.0;0.0;0.0;61.35;61.35;0.0;0.0;37.91;397.33;0.0;1789.99
2019;259;365;119_001;solnu;;115.84;0.0;65.52;23.33;0.0;61.35;61.35;0.0;0.0;0.0;0.0;0.0;115.72;0.0;0.0
2019;1;151;219_001;solnu;;144.96;0.0;0.0;0.0;0.0;0.0;51.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;152;258;219_001;mil;mil_precarachide;126.13;9.14;228.78;12.3;0.0;0.0;0.0;64.01;64.01;0.0;0.0;37.72;397.33;0.0;1789.99
2019;259;365;219_001;solnu;;116.01;0.0;65.38;24.2;0.0;64.01;64.01;0.0;0.0;0.0;0.0;0.0;115.72;0.0;0.0
2019;1;151;319_001;solnu;;144.96;0.0;0.0;0.0;0.0;0.0;49.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;152;258;319_001;mil;mil_precarachide;125.74;9.61;231.62;12.22;0.0;0.0;0.0;61.35;61.35;0.0;0.0;37.91;397.33;0.0;1789.99
2019;259;365;319_001;solnu;;115.84;0.0;65.52;23.33;0.0;61.35;61.35;0.0;0.0;0.0;0.0;0.0;115.72;0.0;0.0
2019;1;151;419_001;solnu;;144.96;0.0;0.0;0.0;0.0;0.0;49.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;152;258;419_001;mil;mil_precarachide;125.64;9.67;231.53;12.16;0.0;0.0;0.0;61.48;61.48;0.0;0.0;37.94;397.33;0.0;1789.99
2019;259;365;419_001;solnu;;115.88;0.0;65.49;23.51;0.0;61.48;61.48;0.0;0.0;0.0;0.0;0.0;115.72;0.0;0.0
2019;1;151;519_001;solnu;;144.96;0.0;0.0;0.0;0.0;0.0;49.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;152;258;519_001;mil;mil_precarachide;125.64;9.67;231.53;12.16;0.0;0.0;0.0;61.48;61.48;0.0;0.0;37.94;397.33;0.0;1789.99
2019;259;365;519_001;solnu;;115.88;0.0;65.49;23.51;0.0;61.48;61.48;0.0;0.0;0.0;0.0;0.0;115.72;0.0;0.0
2019;1;151;619_001;solnu;;144.96;0.0;0.0;0.0;0.0;0.0;49.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;152;258;619_001;mil;mil_precarachide;125.74;9.61;231.62;12.22;0.0;0.0;0.0;61.35;61.35;0.0;0.0;37.91;397.33;0.0;1789.99
2019;259;365;619_001;solnu;;115.84;0.0;65.52;23.33;0.0;61.35;61.35;0.0;0.0;0.0;0.0;0.0;115.72;0.0;0.0
2019;1;151;719_001;solnu;;144.96;0.0;0.0;0.0;0.0;0.0;49.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;152;258;719_001;mil;mil_precarachide;125.73;9.63;231.92;12.24;0.0;0.0;0.0;61.07;61.07;0.0;0.0;37.92;397.33;0.0;1789.99
2019;259;365;719_001;solnu;;115.79;0.0;65.55;23.12;0.0;61.07;61.07;0.0;0.0;0.0;0.0;0.0;115.72;0.0;0.0
